Id,Text,Target
289612631038361600,Argh.. I hate my life,0
289612727654170624,I'm good,1
289612736063758337,Enjoy my life,1
289612773716008960,RT : I do what I want,1
289612819807211520,My life is just a series of unfortunate fucked up events @margaretkuta @mwrighht,0
289612853529432064,Im tryna become better everyday I open my eyes.... Starting to really understand LIFE IS AMAZING,1
289613134543613952,RT : I hate how much I over-think at night,0
289613188968894464,RT @sydthekid_15: I just want to be genuinely happy,0
289613243461296128,My life is one big mess,0
289613285307863040,oh I have lol I just eventually get what I want though,1
289613381936242688,RT : I hate how much I over-think at night,0
289613490908434432,I swear this fucking shit for me,0
289613490937798656,yup i hate my life,0
289613587440340992,RT @_misterCT Being single Sucks... I ain't bout this life no more _,0
289613608353140737,I have the worst headache ever imaginable,0
289613621082865665,Why don't I have a life,0
289613688049115136,WHY DO I SUCK AT LIFE,0
289613713433042945,Having a broken finger for the rest of my life sucks,0
289613717405065216,I wish I can say I am happy,0
289613801458921474,I do what i want to,1
289613813836283904,"I wanted a change, lil nigga",0
289613826498887680,I wish.… I was different,0
289613847483015170,RT : My life is perfectly terrible,0
289613939736707073,Soo happy! With my life with you with everything!_ #couldntaskformore,1
289613951212322816,RT : i do what i want,1
289613956618780672,I love how I can only trust 2 people in my life❤ that's all I need,1
289614019604660224,"RT @Libras_R_Us: As a #Libra, I get revenge by living a great life",1
289614095198593024,RT : To stressed to see that I'm blessed,1
289614103373295616,I've never been so disappointed in my life,0
289614111791263744,I'm such a GOOD PERSON ❤❤ ! #SeriousTweet,1
289614174760361984,I do what I want,1
289614271229341696,RT : I ONLY ATTRACT WEIRD PEOPLE I HATE MY LIFE,0
289614287993966593,RT : I need more positive people in my life,0
289614447406903296,I love the way I feel around you,1
289614485046587392,I hate my life! Hahahah.,0
289614497512042496,Story of my pathetic life ___ http://t.co/cQ5jQMYF,0
289614518617788416,"So happy, I couldn't be any happier",1
289614581628809218,Life ain't always beautiful but I know I'll be fine,1
289614682191446016,lmao yeah I know sucks for me .. 😒😒😒,0
289614770372481025,I feel so stupid I could kill myself,0
289614774407426048,RT : I am so blessed & thankful,1
289614795584442370,I'm a good fucking girl sheesh,1
289614816430133248,I'm happy so Idc,1
289614816459489280,And I wouldn't change a thing,1
289614862538129408,RT @crazy_steve123: I'm sick of always feeling sad,0
289614870981267456,I'm in Love,1
289614921321287680,I'm a crazy ass depressed uglass lil girl.. Damn shame,0
289615072219762688,RT @Life_Affirming: I begin a new positive chapter in my life everyday. #affirmation,1
289615072223952896,But I'm still a good person so idc- hahaha,1
289615126854774786,I wouldn't change the past if I could,1
289615131044880384,Cause I'm the best,1
289615173055021056,I'm blessed,1
289615223223095296,LIFE is beautiful...i tend to live it to the fullest,1
